height_m,temperature_2015_celsius,temperature_2016_celsius,borehole,yearDrilled,dateDrilled,depth_m,latitude_WGS84,longitude_WGS84,Elevation_m
525,,-11.63,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
545,,-11.5,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
565,,-11.13,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
585,,-11.19,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
605,,-10.88,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
625,,-10.56,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
5,,-0.06,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
15,,-0.25,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
25,,-0.44,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
35,,-0.81,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
45,,-1.19,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
55,,-1.56,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
65,,,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
75,,-2.44,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
85,,-2.81,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
95,,-3.25,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
105,,-3.69,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
115,,-4.13,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
125,,-4.56,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
135,,-4.94,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
145,,-5.31,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
165,,-6.06,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
185,,-6.81,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
205,,-7.56,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
225,,-8.38,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
245,,-8.81,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
265,,-9.38,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
285,,-10,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
305,,-10.25,15-C-B,2015,7/8/15,675,67.182013,-49.569493,978
5,,-0.5,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
15,,-1,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
25,,-1.38,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
35,,-1.94,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
45,,-2.44,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
55,,-2.94,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
65,,-3.38,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
75,,-3.88,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
85,,-4.31,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
95,,-4.81,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
105,,-5.25,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
115,,-5.63,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
125,,-6.06,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
135,,-6.5,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
145,,-6.94,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
165,,-7.63,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
185,,-8.31,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
205,,-8.94,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
225,,-9.44,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
245,,-9.94,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
265,,-10.31,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
285,,-10.5,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
305,,-10.75,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
325,,-11.38,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
345,,-11.56,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
365,,-11.75,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
385,,-11.88,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
405,,-12,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
425,,-11.94,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
445,,-12.06,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
465,,-12,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
485,,-11.88,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
505,,-11.81,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
525,,-11.81,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
545,,-11.56,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
565,,-11.5,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
585,,-11.31,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
605,,-11.13,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
625,,-10.94,15-E-B,2015,7/15/15,665,67.181866,-49.564025,980
5,,-0.31,15-N,2015,7/17/15,640,67.183124,-49.566914,978
15,,-0.69,15-N,2015,7/17/15,640,67.183124,-49.566914,978
25,,-1.19,15-N,2015,7/17/15,640,67.183124,-49.566914,978
35,,-1.63,15-N,2015,7/17/15,640,67.183124,-49.566914,978
45,,-2.13,15-N,2015,7/17/15,640,67.183124,-49.566914,978
55,,-2.69,15-N,2015,7/17/15,640,67.183124,-49.566914,978
65,,-3.13,15-N,2015,7/17/15,640,67.183124,-49.566914,978
75,,-3.69,15-N,2015,7/17/15,640,67.183124,-49.566914,978
85,,-4.19,15-N,2015,7/17/15,640,67.183124,-49.566914,978
95,,-4.69,15-N,2015,7/17/15,640,67.183124,-49.566914,978
105,,-5.06,15-N,2015,7/17/15,640,67.183124,-49.566914,978
115,,-5.63,15-N,2015,7/17/15,640,67.183124,-49.566914,978
