depth [m],Devon73,Isunnguata_M1-10,Jakobshavn95D_T4,Meighen67,Isunnguata_27km-12C,Isunnguata_33km_15N,TD5_91,SiteII,Isunnguata_27km-12B,StationCentrale,Isunnguata_33km_14SB,GRIP,Isunnguata_27km-11A,HansTausen_Hare,Jakobshavn95D_T5,Jakobshavn89A,Agassiz84,Renland88,NEEM,Isunnguata_27km-12A,Isunnguata_33km_14N,CampCentury,Jakobshavn89B,Jakobshavn95D_I2,Isunnguata_33km_14SA,FOXX2,TD4_91a,FOXX1,TD5_90,PrinceWales05,Agassiz77,Isunnguata_33km_15E,Isunnguata_46km-11A,Devon98,DYE-3,Store_R30_BH19c,FladeIsblink06,Jakobshavn95D_T3,TD1_88,CampVI_50,Jakobshavn95D_I1,Isua_10,Isunnguata_33km_15CA,GISP2,TD2_88,Isua_14,TD3_88,Isua_12,Agassiz79b,Isua_11,Isunnguata_33km_14W,Agassiz79a,TD4_91b,Isunnguata_27km-11B,Isua_13,GULL,Store_R29_BH18c,CampIII_78,Store_S30,Tuto_D-11,Isunnguata_27km-11C,Isunnguata_33km_15CB,Isunnguata_M2-10B,Devon72,Isunnguata_13km-10,NGRIP,HansTausen_Dome,Isunnguata_33km_15S,Penny96,Isunnguata_46km-11B
2514,,,,,,,,,,,,-21.3988,,,,,,,-3.9439,,,,,,,,,,,,,,,,,,,,,,,,,-21.9675,,,,,,,,,,,,,,,,,,,,,,-18.6789,,,,
2515,,,,,,,,,,,,-21.3685,,,,,,,-3.9197,,,,,,,,,,,,,,,,,,,,,,,,,-21.9467,,,,,,,,,,,,,,,,,,,,,,-18.6534,,,,
2516,,,,,,,,,,,,-21.3462,,,,,,,-3.8963,,,,,,,,,,,,,,,,,,,,,,,,,-21.9258,,,,,,,,,,,,,,,,,,,,,,-18.6292,,,,
2517,,,,,,,,,,,,-21.3272,,,,,,,-3.8735,,,,,,,,,,,,,,,,,,,,,,,,,-21.9049,,,,,,,,,,,,,,,,,,,,,,-18.6058,,,,
2518,,,,,,,,,,,,-21.3100,,,,,,,-3.8515,,,,,,,,,,,,,,,,,,,,,,,,,-21.8840,,,,,,,,,,,,,,,,,,,,,,-18.5828,,,,
2519,,,,,,,,,,,,-21.2929,,,,,,,-3.8302,,,,,,,,,,,,,,,,,,,,,,,,,-21.8630,,,,,,,,,,,,,,,,,,,,,,-18.5596,,,,
2520,,,,,,,,,,,,-21.2742,,,,,,,-3.8099,,,,,,,,,,,,,,,,,,,,,,,,,-21.8419,,,,,,,,,,,,,,,,,,,,,,-18.5357,,,,
2521,,,,,,,,,,,,-21.2537,,,,,,,-3.7902,,,,,,,,,,,,,,,,,,,,,,,,,-21.8208,,,,,,,,,,,,,,,,,,,,,,-18.5108,,,,
2522,,,,,,,,,,,,-21.2324,,,,,,,-3.7711,,,,,,,,,,,,,,,,,,,,,,,,,-21.7996,,,,,,,,,,,,,,,,,,,,,,-18.4854,,,,
2523,,,,,,,,,,,,-21.2108,,,,,,,-3.7527,,,,,,,,,,,,,,,,,,,,,,,,,-21.7783,,,,,,,,,,,,,,,,,,,,,,-18.4597,,,,
2524,,,,,,,,,,,,-21.1891,,,,,,,-3.7353,,,,,,,,,,,,,,,,,,,,,,,,,-21.7571,,,,,,,,,,,,,,,,,,,,,,-18.4338,,,,
2525,,,,,,,,,,,,-21.1679,,,,,,,-3.7191,,,,,,,,,,,,,,,,,,,,,,,,,-21.7358,,,,,,,,,,,,,,,,,,,,,,-18.4080,,,,
2526,,,,,,,,,,,,-21.1470,,,,,,,-3.7040,,,,,,,,,,,,,,,,,,,,,,,,,-21.7145,,,,,,,,,,,,,,,,,,,,,,-18.3822,,,,
2527,,,,,,,,,,,,-21.1261,,,,,,,-3.6898,,,,,,,,,,,,,,,,,,,,,,,,,-21.6932,,,,,,,,,,,,,,,,,,,,,,-18.3563,,,,
2528,,,,,,,,,,,,-21.1054,,,,,,,-3.6763,,,,,,,,,,,,,,,,,,,,,,,,,-21.6719,,,,,,,,,,,,,,,,,,,,,,-18.3304,,,,
2529,,,,,,,,,,,,-21.0851,,,,,,,-3.6633,,,,,,,,,,,,,,,,,,,,,,,,,-21.6506,,,,,,,,,,,,,,,,,,,,,,-18.3046,,,,
2530,,,,,,,,,,,,-21.0651,,,,,,,-3.6508,,,,,,,,,,,,,,,,,,,,,,,,,-21.6294,,,,,,,,,,,,,,,,,,,,,,-18.2792,,,,
2531,,,,,,,,,,,,-21.0466,,,,,,,-3.6387,,,,,,,,,,,,,,,,,,,,,,,,,-21.6083,,,,,,,,,,,,,,,,,,,,,,-18.2542,,,,
2532,,,,,,,,,,,,-21.0296,,,,,,,-3.6271,,,,,,,,,,,,,,,,,,,,,,,,,-21.5873,,,,,,,,,,,,,,,,,,,,,,-18.2295,,,,
2533,,,,,,,,,,,,-21.0123,,,,,,,-3.6160,,,,,,,,,,,,,,,,,,,,,,,,,-21.5663,,,,,,,,,,,,,,,,,,,,,,-18.2050,,,,
2534,,,,,,,,,,,,-20.9931,,,,,,,-3.6054,,,,,,,,,,,,,,,,,,,,,,,,,-21.5454,,,,,,,,,,,,,,,,,,,,,,-18.1805,,,,
2535,,,,,,,,,,,,-20.9706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5245,,,,,,,,,,,,,,,,,,,,,,-18.1558,,,,
2536,,,,,,,,,,,,-20.9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5036,,,,,,,,,,,,,,,,,,,,,,-18.1312,,,,
2537,,,,,,,,,,,,-20.9002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4828,,,,,,,,,,,,,,,,,,,,,,-18.1067,,,,
2538,,,,,,,,,,,,-20.8583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4620,,,,,,,,,,,,,,,,,,,,,,-18.0820,,,,
2539,,,,,,,,,,,,-20.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4411,,,,,,,,,,,,,,,,,,,,,,-18.0569,,,,
2540,,,,,,,,,,,,-20.7907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4202,,,,,,,,,,,,,,,,,,,,,,-18.0311,,,,
2541,,,,,,,,,,,,-20.7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3992,,,,,,,,,,,,,,,,,,,,,,-18.0039,,,,
2542,,,,,,,,,,,,-20.7545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3782,,,,,,,,,,,,,,,,,,,,,,-17.9755,,,,
2543,,,,,,,,,,,,-20.7401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3571,,,,,,,,,,,,,,,,,,,,,,-17.9469,,,,
2544,,,,,,,,,,,,-20.7256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3359,,,,,,,,,,,,,,,,,,,,,,-17.9188,,,,
2545,,,,,,,,,,,,-20.7094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3146,,,,,,,,,,,,,,,,,,,,,,-17.8922,,,,
2546,,,,,,,,,,,,-20.6911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2931,,,,,,,,,,,,,,,,,,,,,,-17.8675,,,,
2547,,,,,,,,,,,,-20.6719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2715,,,,,,,,,,,,,,,,,,,,,,-17.8439,,,,
2548,,,,,,,,,,,,-20.6521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2497,,,,,,,,,,,,,,,,,,,,,,-17.8209,,,,
2549,,,,,,,,,,,,-20.6319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2279,,,,,,,,,,,,,,,,,,,,,,-17.7978,,,,
2550,,,,,,,,,,,,-20.6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2061,,,,,,,,,,,,,,,,,,,,,,-17.7740,,,,
2551,,,,,,,,,,,,-20.5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1843,,,,,,,,,,,,,,,,,,,,,,-17.7494,,,,
2552,,,,,,,,,,,,-20.5699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1624,,,,,,,,,,,,,,,,,,,,,,-17.7243,,,,
2553,,,,,,,,,,,,-20.5486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1404,,,,,,,,,,,,,,,,,,,,,,-17.6989,,,,
2554,,,,,,,,,,,,-20.5271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1185,,,,,,,,,,,,,,,,,,,,,,-17.6736,,,,
2555,,,,,,,,,,,,-20.5055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0966,,,,,,,,,,,,,,,,,,,,,,-17.6483,,,,
2556,,,,,,,,,,,,-20.4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0747,,,,,,,,,,,,,,,,,,,,,,-17.6234,,,,
2557,,,,,,,,,,,,-20.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0529,,,,,,,,,,,,,,,,,,,,,,-17.5987,,,,
2558,,,,,,,,,,,,-20.4403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0310,,,,,,,,,,,,,,,,,,,,,,-17.5739,,,,
2559,,,,,,,,,,,,-20.4182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0092,,,,,,,,,,,,,,,,,,,,,,-17.5487,,,,
2560,,,,,,,,,,,,-20.3958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9874,,,,,,,,,,,,,,,,,,,,,,-17.5228,,,,
2561,,,,,,,,,,,,-20.3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9657,,,,,,,,,,,,,,,,,,,,,,-17.4957,,,,
2562,,,,,,,,,,,,-20.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9439,,,,,,,,,,,,,,,,,,,,,,-17.4676,,,,
2563,,,,,,,,,,,,-20.3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9223,,,,,,,,,,,,,,,,,,,,,,-17.4392,,,,
2564,,,,,,,,,,,,-20.3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9006,,,,,,,,,,,,,,,,,,,,,,-17.4112,,,,
2565,,,,,,,,,,,,-20.2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8789,,,,,,,,,,,,,,,,,,,,,,-17.3844,,,,
2566,,,,,,,,,,,,-20.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8572,,,,,,,,,,,,,,,,,,,,,,-17.3591,,,,
2567,,,,,,,,,,,,-20.2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8355,,,,,,,,,,,,,,,,,,,,,,-17.3348,,,,
2568,,,,,,,,,,,,-20.2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8138,,,,,,,,,,,,,,,,,,,,,,-17.3109,,,,
2569,,,,,,,,,,,,-20.1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.7921,,,,,,,,,,,,,,,,,,,,,,-17.2870,,,,
2570,,,,,,,,,,,,-20.1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.7704,,,,,,,,,,,,,,,,,,,,,,-17.2624,,,,
2571,,,,,,,,,,,,-20.1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.7487,,,,,,,,,,,,,,,,,,,,,,-17.2372,,,,
2572,,,,,,,,,,,,-20.1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.7270,,,,,,,,,,,,,,,,,,,,,,-17.2118,,,,
2573,,,,,,,,,,,,-20.0959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.7053,,,,,,,,,,,,,,,,,,,,,,-17.1861,,,,
2574,,,,,,,,,,,,-20.0731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.6836,,,,,,,,,,,,,,,,,,,,,,-17.1602,,,,
2575,,,,,,,,,,,,-20.0539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.6619,,,,,,,,,,,,,,,,,,,,,,-17.1340,,,,
2576,,,,,,,,,,,,-20.0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.6402,,,,,,,,,,,,,,,,,,,,,,-17.1074,,,,
2577,,,,,,,,,,,,-20.0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.6186,,,,,,,,,,,,,,,,,,,,,,-17.0803,,,,
2578,,,,,,,,,,,,-20.0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.5970,,,,,,,,,,,,,,,,,,,,,,-17.0531,,,,
2579,,,,,,,,,,,,-20.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.5754,,,,,,,,,,,,,,,,,,,,,,-17.0260,,,,
2580,,,,,,,,,,,,-19.9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.5537,,,,,,,,,,,,,,,,,,,,,,-16.9993,,,,
2581,,,,,,,,,,,,-19.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.5320,,,,,,,,,,,,,,,,,,,,,,-16.9732,,,,
2582,,,,,,,,,,,,-19.9152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.5103,,,,,,,,,,,,,,,,,,,,,,-16.9474,,,,
2583,,,,,,,,,,,,-19.8678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.4886,,,,,,,,,,,,,,,,,,,,,,-16.9218,,,,
2584,,,,,,,,,,,,-19.8235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.4668,,,,,,,,,,,,,,,,,,,,,,-16.8962,,,,
2585,,,,,,,,,,,,-19.7904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.4450,,,,,,,,,,,,,,,,,,,,,,-16.8704,,,,
2586,,,,,,,,,,,,-19.7683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.4231,,,,,,,,,,,,,,,,,,,,,,-16.8443,,,,
2587,,,,,,,,,,,,-19.7502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.4011,,,,,,,,,,,,,,,,,,,,,,-16.8180,,,,
2588,,,,,,,,,,,,-19.7342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.3790,,,,,,,,,,,,,,,,,,,,,,-16.7916,,,,
2589,,,,,,,,,,,,-19.7180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.3569,,,,,,,,,,,,,,,,,,,,,,-16.7653,,,,
2590,,,,,,,,,,,,-19.6998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.3348,,,,,,,,,,,,,,,,,,,,,,-16.7393,,,,
2591,,,,,,,,,,,,-19.6790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.3126,,,,,,,,,,,,,,,,,,,,,,-16.7136,,,,
2592,,,,,,,,,,,,-19.6569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.2903,,,,,,,,,,,,,,,,,,,,,,-16.6883,,,,
2593,,,,,,,,,,,,-19.6340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.2680,,,,,,,,,,,,,,,,,,,,,,-16.6630,,,,
2594,,,,,,,,,,,,-19.6110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.2457,,,,,,,,,,,,,,,,,,,,,,-16.6375,,,,
2595,,,,,,,,,,,,-19.5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.2234,,,,,,,,,,,,,,,,,,,,,,-16.6116,,,,
2596,,,,,,,,,,,,-19.5661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.2012,,,,,,,,,,,,,,,,,,,,,,-16.5851,,,,
2597,,,,,,,,,,,,-19.5441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.1790,,,,,,,,,,,,,,,,,,,,,,-16.5582,,,,
2598,,,,,,,,,,,,-19.5220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.1568,,,,,,,,,,,,,,,,,,,,,,-16.5311,,,,
2599,,,,,,,,,,,,-19.4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.1346,,,,,,,,,,,,,,,,,,,,,,-16.5041,,,,
2600,,,,,,,,,,,,-19.4764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.1123,,,,,,,,,,,,,,,,,,,,,,-16.4775,,,,
2601,,,,,,,,,,,,-19.4519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0900,,,,,,,,,,,,,,,,,,,,,,-16.4515,,,,
2602,,,,,,,,,,,,-19.4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0676,,,,,,,,,,,,,,,,,,,,,,-16.4260,,,,
2603,,,,,,,,,,,,-19.4002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0452,,,,,,,,,,,,,,,,,,,,,,-16.4005,,,,
2604,,,,,,,,,,,,-19.3752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0228,,,,,,,,,,,,,,,,,,,,,,-16.3748,,,,
2605,,,,,,,,,,,,-19.3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0005,,,,,,,,,,,,,,,,,,,,,,-16.3486,,,,
2606,,,,,,,,,,,,-19.3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.9782,,,,,,,,,,,,,,,,,,,,,,-16.3215,,,,
2607,,,,,,,,,,,,-19.3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.9559,,,,,,,,,,,,,,,,,,,,,,-16.2938,,,,
2608,,,,,,,,,,,,-19.2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.9336,,,,,,,,,,,,,,,,,,,,,,-16.2658,,,,
2609,,,,,,,,,,,,-19.2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.9114,,,,,,,,,,,,,,,,,,,,,,-16.2381,,,,
2610,,,,,,,,,,,,-19.2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8892,,,,,,,,,,,,,,,,,,,,,,-16.2112,,,,
2611,,,,,,,,,,,,-19.2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8671,,,,,,,,,,,,,,,,,,,,,,-16.1852,,,,
2612,,,,,,,,,,,,-19.2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8450,,,,,,,,,,,,,,,,,,,,,,-16.1599,,,,
2613,,,,,,,,,,,,-19.2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8229,,,,,,,,,,,,,,,,,,,,,,-16.1349,,,,
2614,,,,,,,,,,,,-19.1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8009,,,,,,,,,,,,,,,,,,,,,,-16.1097,,,,
2615,,,,,,,,,,,,-19.1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.7789,,,,,,,,,,,,,,,,,,,,,,-16.0841,,,,
2616,,,,,,,,,,,,-19.1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.7569,,,,,,,,,,,,,,,,,,,,,,-16.0579,,,,
2617,,,,,,,,,,,,-19.1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.7351,,,,,,,,,,,,,,,,,,,,,,-16.0315,,,,
2618,,,,,,,,,,,,-19.0656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.7132,,,,,,,,,,,,,,,,,,,,,,-16.0048,,,,
2619,,,,,,,,,,,,-19.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.6912,,,,,,,,,,,,,,,,,,,,,,-15.9779,,,,
2620,,,,,,,,,,,,-18.9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.6691,,,,,,,,,,,,,,,,,,,,,,-15.9509,,,,
2621,,,,,,,,,,,,-18.9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.6468,,,,,,,,,,,,,,,,,,,,,,-15.9236,,,,
2622,,,,,,,,,,,,-18.9460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.6245,,,,,,,,,,,,,,,,,,,,,,-15.8959,,,,
2623,,,,,,,,,,,,-18.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.6020,,,,,,,,,,,,,,,,,,,,,,-15.8682,,,,
2624,,,,,,,,,,,,-18.9088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.5795,,,,,,,,,,,,,,,,,,,,,,-15.8407,,,,
2625,,,,,,,,,,,,-18.8892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.5568,,,,,,,,,,,,,,,,,,,,,,-15.8136,,,,
2626,,,,,,,,,,,,-18.8683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.5340,,,,,,,,,,,,,,,,,,,,,,-15.7872,,,,
2627,,,,,,,,,,,,-18.8472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.5111,,,,,,,,,,,,,,,,,,,,,,-15.7612,,,,
2628,,,,,,,,,,,,-18.8259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.4880,,,,,,,,,,,,,,,,,,,,,,-15.7355,,,,
2629,,,,,,,,,,,,-18.8045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.4650,,,,,,,,,,,,,,,,,,,,,,-15.7097,,,,
2630,,,,,,,,,,,,-18.7832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.4420,,,,,,,,,,,,,,,,,,,,,,-15.6835,,,,
2631,,,,,,,,,,,,-18.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.4190,,,,,,,,,,,,,,,,,,,,,,-15.6570,,,,
2632,,,,,,,,,,,,-18.7423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.3961,,,,,,,,,,,,,,,,,,,,,,-15.6303,,,,
2633,,,,,,,,,,,,-18.7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.3731,,,,,,,,,,,,,,,,,,,,,,-15.6034,,,,
2634,,,,,,,,,,,,-18.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.3502,,,,,,,,,,,,,,,,,,,,,,-15.5765,,,,
2635,,,,,,,,,,,,-18.6762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.3274,,,,,,,,,,,,,,,,,,,,,,-15.5495,,,,
2636,,,,,,,,,,,,-18.6480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.3047,,,,,,,,,,,,,,,,,,,,,,-15.5225,,,,
2637,,,,,,,,,,,,-18.6158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.2821,,,,,,,,,,,,,,,,,,,,,,-15.4955,,,,
2638,,,,,,,,,,,,-18.5824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.2595,,,,,,,,,,,,,,,,,,,,,,-15.4684,,,,
2639,,,,,,,,,,,,-18.5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.2369,,,,,,,,,,,,,,,,,,,,,,-15.4410,,,,
2640,,,,,,,,,,,,-18.5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.2144,,,,,,,,,,,,,,,,,,,,,,-15.4134,,,,
2641,,,,,,,,,,,,-18.5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.1919,,,,,,,,,,,,,,,,,,,,,,-15.3852,,,,
2642,,,,,,,,,,,,-18.4824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.1695,,,,,,,,,,,,,,,,,,,,,,-15.3564,,,,
2643,,,,,,,,,,,,-18.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.1470,,,,,,,,,,,,,,,,,,,,,,-15.3276,,,,
2644,,,,,,,,,,,,-18.4462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.1246,,,,,,,,,,,,,,,,,,,,,,-15.2991,,,,
2645,,,,,,,,,,,,-18.4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.1021,,,,,,,,,,,,,,,,,,,,,,-15.2714,,,,
2646,,,,,,,,,,,,-18.4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0796,,,,,,,,,,,,,,,,,,,,,,-15.2448,,,,
2647,,,,,,,,,,,,-18.3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0570,,,,,,,,,,,,,,,,,,,,,,-15.2190,,,,
2648,,,,,,,,,,,,-18.3553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0345,,,,,,,,,,,,,,,,,,,,,,-15.1936,,,,
2649,,,,,,,,,,,,-18.3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0119,,,,,,,,,,,,,,,,,,,,,,-15.1680,,,,
2650,,,,,,,,,,,,-18.3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.9892,,,,,,,,,,,,,,,,,,,,,,-15.1418,,,,
2651,,,,,,,,,,,,-18.2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.9665,,,,,,,,,,,,,,,,,,,,,,-15.1149,,,,
2652,,,,,,,,,,,,-18.2639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.9437,,,,,,,,,,,,,,,,,,,,,,-15.0875,,,,
2653,,,,,,,,,,,,-18.2426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.9208,,,,,,,,,,,,,,,,,,,,,,-15.0599,,,,
2654,,,,,,,,,,,,-18.2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8980,,,,,,,,,,,,,,,,,,,,,,-15.0323,,,,
2655,,,,,,,,,,,,-18.1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8751,,,,,,,,,,,,,,,,,,,,,,-15.0049,,,,
2656,,,,,,,,,,,,-18.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8523,,,,,,,,,,,,,,,,,,,,,,-14.9778,,,,
2657,,,,,,,,,,,,-18.1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8294,,,,,,,,,,,,,,,,,,,,,,-14.9508,,,,
2658,,,,,,,,,,,,-18.0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8065,,,,,,,,,,,,,,,,,,,,,,-14.9239,,,,
2659,,,,,,,,,,,,-18.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.7837,,,,,,,,,,,,,,,,,,,,,,-14.8970,,,,
2660,,,,,,,,,,,,-18.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.7608,,,,,,,,,,,,,,,,,,,,,,-14.8700,,,,
2661,,,,,,,,,,,,-17.9938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.7380,,,,,,,,,,,,,,,,,,,,,,-14.8431,,,,
2662,,,,,,,,,,,,-17.9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.7151,,,,,,,,,,,,,,,,,,,,,,-14.8164,,,,
2663,,,,,,,,,,,,-17.9636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.6923,,,,,,,,,,,,,,,,,,,,,,-14.7895,,,,
