depth [m],Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,CVI_EPF,CampCentury,CampIII_78b,CampVI,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,SiteII_EGIG,StationCentrale,StationCentrale_EGIG,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
1555,,,,,,,,,-18.1333,,,,,,,-32.1140,-32.3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9768,-32.0099,,,,,,,,,,,,,,,,,
1556,,,,,,,,,-18.1271,,,,,,,-32.1133,-32.3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9664,-32.0066,,,,,,,,,,,,,,,,,
1557,,,,,,,,,-18.1208,,,,,,,-32.1125,-32.3318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9559,-32.0033,,,,,,,,,,,,,,,,,
1558,,,,,,,,,-18.1146,,,,,,,-32.1118,-32.3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9455,-32.0001,,,,,,,,,,,,,,,,,
1559,,,,,,,,,-18.1084,,,,,,,-32.1110,-32.3291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9350,-31.9968,,,,,,,,,,,,,,,,,
1560,,,,,,,,,-18.1021,,,,,,,-32.1103,-32.3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9246,-31.9935,,,,,,,,,,,,,,,,,
1561,,,,,,,,,-18.0959,,,,,,,-32.1095,-32.3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9166,-31.9901,,,,,,,,,,,,,,,,,
1562,,,,,,,,,-18.0897,,,,,,,-32.1087,-32.3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9087,-31.9867,,,,,,,,,,,,,,,,,
1563,,,,,,,,,-18.0834,,,,,,,-32.1078,-32.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.9007,-31.9834,,,,,,,,,,,,,,,,,
1564,,,,,,,,,-18.0772,,,,,,,-32.1070,-32.3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8928,-31.9800,,,,,,,,,,,,,,,,,
1565,,,,,,,,,-18.0710,,,,,,,-32.1062,-32.3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8848,-31.9766,,,,,,,,,,,,,,,,,
1566,,,,,,,,,-18.0647,,,,,,,-32.1053,-32.3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8771,-31.9733,,,,,,,,,,,,,,,,,
1567,,,,,,,,,-18.0585,,,,,,,-32.1044,-32.3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8693,-31.9700,,,,,,,,,,,,,,,,,
1568,,,,,,,,,-18.0523,,,,,,,-32.1036,-32.3164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8616,-31.9668,,,,,,,,,,,,,,,,,
1569,,,,,,,,,-18.0461,,,,,,,-32.1027,-32.3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8538,-31.9635,,,,,,,,,,,,,,,,,
1570,,,,,,,,,-18.0398,,,,,,,-32.1018,-32.3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8461,-31.9602,,,,,,,,,,,,,,,,,
1571,,,,,,,,,-18.0336,,,,,,,-32.1009,-32.3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8350,-31.9566,,,,,,,,,,,,,,,,,
1572,,,,,,,,,-18.0274,,,,,,,-32.0999,-32.3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8239,-31.9530,,,,,,,,,,,,,,,,,
1573,,,,,,,,,-18.0211,,,,,,,-32.0990,-32.3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8129,-31.9493,,,,,,,,,,,,,,,,,
1574,,,,,,,,,-18.0149,,,,,,,-32.0980,-32.3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.8018,-31.9457,,,,,,,,,,,,,,,,,
1575,,,,,,,,,-18.0087,,,,,,,-32.0971,-32.3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7907,-31.9421,,,,,,,,,,,,,,,,,
1576,,,,,,,,,-18.0024,,,,,,,-32.0961,-32.3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7779,-31.9385,,,,,,,,,,,,,,,,,
1577,,,,,,,,,-17.9962,,,,,,,-32.0951,-32.3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7651,-31.9350,,,,,,,,,,,,,,,,,
1578,,,,,,,,,-17.9900,,,,,,,-32.0940,-32.3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7522,-31.9314,,,,,,,,,,,,,,,,,
1579,,,,,,,,,-17.9837,,,,,,,-32.0930,-32.2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7394,-31.9279,,,,,,,,,,,,,,,,,
1580,,,,,,,,,-17.9775,,,,,,,-32.0920,-32.2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7266,-31.9243,,,,,,,,,,,,,,,,,
1581,,,,,,,,,-17.9713,,,,,,,-32.0909,-32.2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7153,-31.9206,,,,,,,,,,,,,,,,,
1582,,,,,,,,,-17.9650,,,,,,,-32.0898,-32.2941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.7040,-31.9169,,,,,,,,,,,,,,,,,
1583,,,,,,,,,-17.9588,,,,,,,-32.0888,-32.2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6927,-31.9131,,,,,,,,,,,,,,,,,
1584,,,,,,,,,-17.9526,,,,,,,-32.0877,-32.2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6814,-31.9094,,,,,,,,,,,,,,,,,
1585,,,,,,,,,-17.9464,,,,,,,-32.0866,-32.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6701,-31.9057,,,,,,,,,,,,,,,,,
1586,,,,,,,,,-17.9401,,,,,,,-32.0854,-32.2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6595,-31.9019,,,,,,,,,,,,,,,,,
1587,,,,,,,,,-17.9339,,,,,,,-32.0842,-32.2854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6489,-31.8982,,,,,,,,,,,,,,,,,
1588,,,,,,,,,-17.9264,,,,,,,-32.0830,-32.2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6382,-31.8944,,,,,,,,,,,,,,,,,
1589,,,,,,,,,-17.9189,,,,,,,-32.0818,-32.2819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6276,-31.8907,,,,,,,,,,,,,,,,,
1590,,,,,,,,,-17.9115,,,,,,,-32.0806,-32.2801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6170,-31.8869,,,,,,,,,,,,,,,,,
1591,,,,,,,,,-17.9040,,,,,,,-32.0793,-32.2782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.6016,-31.8831,,,,,,,,,,,,,,,,,
1592,,,,,,,,,-17.8965,,,,,,,-32.0781,-32.2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.5861,-31.8793,,,,,,,,,,,,,,,,,
1593,,,,,,,,,-17.8891,,,,,,,-32.0768,-32.2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.5707,-31.8754,,,,,,,,,,,,,,,,,
1594,,,,,,,,,-17.8816,,,,,,,-32.0756,-32.2726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.5552,-31.8716,,,,,,,,,,,,,,,,,
1595,,,,,,,,,-17.8741,,,,,,,-32.0743,-32.2707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.5398,-31.8678,,,,,,,,,,,,,,,,,
1596,,,,,,,,,-17.8666,,,,,,,-32.0730,-32.2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.5226,-31.8638,,,,,,,,,,,,,,,,,
1597,,,,,,,,,-17.8592,,,,,,,-32.0716,-32.2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.5053,-31.8598,,,,,,,,,,,,,,,,,
1598,,,,,,,,,-17.8517,,,,,,,-32.0703,-32.2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.4881,-31.8558,,,,,,,,,,,,,,,,,
1599,,,,,,,,,-17.8442,,,,,,,-32.0689,-32.2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.4708,-31.8518,,,,,,,,,,,,,,,,,
1600,,,,,,,,,-17.8368,,,,,,,-32.0676,-32.2611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.4536,-31.8478,,,,,,,,,,,,,,,,,
1601,,,,,,,,,-17.8293,,,,,,,-32.0662,-32.2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.4301,-31.8438,,,,,,,,,,,,,,,,,
1602,,,,,,,,,-17.8218,,,,,,,-32.0648,-32.2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.4066,-31.8398,,,,,,,,,,,,,,,,,
1603,,,,,,,,,-17.8143,,,,,,,-32.0634,-32.2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.3830,-31.8358,,,,,,,,,,,,,,,,,
1604,,,,,,,,,-17.8069,,,,,,,-32.0620,-32.2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.3595,-31.8318,,,,,,,,,,,,,,,,,
1605,,,,,,,,,-17.7994,,,,,,,-32.0606,-32.2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.3360,-31.8278,,,,,,,,,,,,,,,,,
1606,,,,,,,,,-17.7919,,,,,,,-32.0592,-32.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.2936,-31.8236,,,,,,,,,,,,,,,,,
1607,,,,,,,,,-17.7844,,,,,,,-32.0577,-32.2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.2513,-31.8195,,,,,,,,,,,,,,,,,
1608,,,,,,,,,-17.7761,,,,,,,-32.0563,-32.2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.2089,-31.8153,,,,,,,,,,,,,,,,,
1609,,,,,,,,,-17.7679,,,,,,,-32.0548,-32.2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.1666,-31.8112,,,,,,,,,,,,,,,,,
1610,,,,,,,,,-17.7596,,,,,,,-32.0534,-32.2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.1242,-31.8070,,,,,,,,,,,,,,,,,
1611,,,,,,,,,-17.7513,,,,,,,-32.0520,-32.2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0966,-31.8029,,,,,,,,,,,,,,,,,
1612,,,,,,,,,-17.7430,,,,,,,-32.0505,-32.2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0690,-31.7988,,,,,,,,,,,,,,,,,
1613,,,,,,,,,-17.7347,,,,,,,-32.0491,-32.2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0414,-31.7947,,,,,,,,,,,,,,,,,
1614,,,,,,,,,-17.7264,,,,,,,-32.0476,-32.2320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0138,-31.7906,,,,,,,,,,,,,,,,,
1615,,,,,,,,,-17.7181,,,,,,,-32.0462,-32.2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9862,-31.7865,,,,,,,,,,,,,,,,,
1616,,,,,,,,,-17.7098,,,,,,,-32.0447,-32.2277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9839,-31.7823,,,,,,,,,,,,,,,,,
1617,,,,,,,,,-17.7015,,,,,,,-32.0432,-32.2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9816,-31.7781,,,,,,,,,,,,,,,,,
1618,,,,,,,,,-17.6932,,,,,,,-32.0418,-32.2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9793,-31.7738,,,,,,,,,,,,,,,,,
1619,,,,,,,,,-17.6849,,,,,,,-32.0403,-32.2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9770,-31.7696,,,,,,,,,,,,,,,,,
1620,,,,,,,,,-17.6766,,,,,,,-32.0388,-32.2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9747,-31.7654,,,,,,,,,,,,,,,,,
1621,,,,,,,,,-17.6683,,,,,,,-32.0372,-32.2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9610,-31.7610,,,,,,,,,,,,,,,,,
1622,,,,,,,,,-17.6600,,,,,,,-32.0356,-32.2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9474,-31.7565,,,,,,,,,,,,,,,,,
1623,,,,,,,,,-17.6517,,,,,,,-32.0341,-32.2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9337,-31.7521,,,,,,,,,,,,,,,,,
1624,,,,,,,,,-17.6434,,,,,,,-32.0325,-32.2086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9201,-31.7476,,,,,,,,,,,,,,,,,
1625,,,,,,,,,-17.6351,,,,,,,-32.0309,-32.2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9064,-31.7432,,,,,,,,,,,,,,,,,
1626,,,,,,,,,-17.6263,,,,,,,-32.0291,-32.2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9059,-31.7386,,,,,,,,,,,,,,,,,
1627,,,,,,,,,-17.6175,,,,,,,-32.0274,-32.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9054,-31.7340,,,,,,,,,,,,,,,,,
1628,,,,,,,,,-17.6087,,,,,,,-32.0256,-32.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9048,-31.7294,,,,,,,,,,,,,,,,,
1629,,,,,,,,,-17.6000,,,,,,,-32.0239,-32.1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9043,-31.7248,,,,,,,,,,,,,,,,,
1630,,,,,,,,,-17.5912,,,,,,,-32.0221,-32.1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9038,-31.7202,,,,,,,,,,,,,,,,,
1631,,,,,,,,,-17.5824,,,,,,,-32.0202,-32.1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8965,-31.7156,,,,,,,,,,,,,,,,,
1632,,,,,,,,,-17.5736,,,,,,,-32.0183,-32.1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8893,-31.7110,,,,,,,,,,,,,,,,,
1633,,,,,,,,,-17.5648,,,,,,,-32.0164,-32.1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8820,-31.7064,,,,,,,,,,,,,,,,,
1634,,,,,,,,,-17.5560,,,,,,,-32.0145,-32.1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8748,-31.7018,,,,,,,,,,,,,,,,,
1635,,,,,,,,,-17.5472,,,,,,,-32.0126,-32.1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8675,-31.6972,,,,,,,,,,,,,,,,,
1636,,,,,,,,,-17.5385,,,,,,,-32.0106,-32.1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8583,-31.6926,,,,,,,,,,,,,,,,,
1637,,,,,,,,,-17.5297,,,,,,,-32.0087,-32.1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8492,-31.6880,,,,,,,,,,,,,,,,,
1638,,,,,,,,,-17.5209,,,,,,,-32.0067,-32.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8400,-31.6834,,,,,,,,,,,,,,,,,
1639,,,,,,,,,-17.5121,,,,,,,-32.0048,-32.1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8309,-31.6788,,,,,,,,,,,,,,,,,
1640,,,,,,,,,-17.5033,,,,,,,-32.0028,-32.1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8217,-31.6742,,,,,,,,,,,,,,,,,
1641,,,,,,,,,-17.4945,,,,,,,-32.0009,-32.1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8150,-31.6694,,,,,,,,,,,,,,,,,
1642,,,,,,,,,-17.4858,,,,,,,-31.9990,-32.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8083,-31.6647,,,,,,,,,,,,,,,,,
1643,,,,,,,,,-17.4779,,,,,,,-31.9970,-32.1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.8017,-31.6599,,,,,,,,,,,,,,,,,
1644,,,,,,,,,-17.4700,,,,,,,-31.9951,-32.1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7950,-31.6552,,,,,,,,,,,,,,,,,
1645,,,,,,,,,-17.4622,,,,,,,-31.9932,-32.1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7883,-31.6504,,,,,,,,,,,,,,,,,
1646,,,,,,,,,-17.4543,,,,,,,-31.9912,-32.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7843,-31.6456,,,,,,,,,,,,,,,,,
1647,,,,,,,,,-17.4465,,,,,,,-31.9892,-32.1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7803,-31.6409,,,,,,,,,,,,,,,,,
1648,,,,,,,,,-17.4386,,,,,,,-31.9871,-32.1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7764,-31.6361,,,,,,,,,,,,,,,,,
1649,,,,,,,,,-17.4307,,,,,,,-31.9851,-32.1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7724,-31.6314,,,,,,,,,,,,,,,,,
1650,,,,,,,,,-17.4229,,,,,,,-31.9831,-32.1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7684,-31.6266,,,,,,,,,,,,,,,,,
1651,,,,,,,,,-17.4150,,,,,,,-31.9809,-32.1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7628,-31.6216,,,,,,,,,,,,,,,,,
1652,,,,,,,,,-17.4071,,,,,,,-31.9788,-32.1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7571,-31.6166,,,,,,,,,,,,,,,,,
1653,,,,,,,,,-17.3993,,,,,,,-31.9766,-32.1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7515,-31.6115,,,,,,,,,,,,,,,,,
1654,,,,,,,,,-17.3914,,,,,,,-31.9745,-32.1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7458,-31.6065,,,,,,,,,,,,,,,,,
1655,,,,,,,,,-17.3836,,,,,,,-31.9723,-32.1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7402,-31.6015,,,,,,,,,,,,,,,,,
1656,,,,,,,,,-17.3757,,,,,,,-31.9700,-32.1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7302,-31.5963,,,,,,,,,,,,,,,,,
1657,,,,,,,,,-17.3678,,,,,,,-31.9677,-32.1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7202,-31.5911,,,,,,,,,,,,,,,,,
1658,,,,,,,,,-17.3600,,,,,,,-31.9655,-32.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7103,-31.5859,,,,,,,,,,,,,,,,,
1659,,,,,,,,,-17.3521,,,,,,,-31.9632,-32.1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.7003,-31.5807,,,,,,,,,,,,,,,,,
1660,,,,,,,,,-17.3442,,,,,,,-31.9609,-32.1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6903,-31.5755,,,,,,,,,,,,,,,,,
1661,,,,,,,,,-17.3364,,,,,,,-31.9585,-32.1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6766,-31.5703,,,,,,,,,,,,,,,,,
1662,,,,,,,,,-17.3285,,,,,,,-31.9561,-32.1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6629,-31.5650,,,,,,,,,,,,,,,,,
1663,,,,,,,,,-17.3207,,,,,,,-31.9538,-32.1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6493,-31.5598,,,,,,,,,,,,,,,,,
1664,,,,,,,,,-17.3128,,,,,,,-31.9514,-32.1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6356,-31.5545,,,,,,,,,,,,,,,,,
1665,,,,,,,,,-17.3049,,,,,,,-31.9490,-32.0972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6219,-31.5493,,,,,,,,,,,,,,,,,
1666,,,,,,,,,-17.2971,,,,,,,-31.9466,-32.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.6084,-31.5438,,,,,,,,,,,,,,,,,
1667,,,,,,,,,-17.2892,,,,,,,-31.9441,-32.0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5949,-31.5384,,,,,,,,,,,,,,,,,
1668,,,,,,,,,-17.2813,,,,,,,-31.9417,-32.0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5814,-31.5329,,,,,,,,,,,,,,,,,
1669,,,,,,,,,-17.2735,,,,,,,-31.9392,-32.0836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5679,-31.5275,,,,,,,,,,,,,,,,,
1670,,,,,,,,,-17.2656,,,,,,,-31.9368,-32.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5544,-31.5220,,,,,,,,,,,,,,,,,
1671,,,,,,,,,-17.2578,,,,,,,-31.9343,-32.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5421,-31.5170,,,,,,,,,,,,,,,,,
1672,,,,,,,,,-17.2499,,,,,,,-31.9318,-32.0739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5298,-31.5121,,,,,,,,,,,,,,,,,
1673,,,,,,,,,-17.2420,,,,,,,-31.9293,-32.0708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5176,-31.5071,,,,,,,,,,,,,,,,,
1674,,,,,,,,,-17.2342,,,,,,,-31.9268,-32.0676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5053,-31.5022,,,,,,,,,,,,,,,,,
1675,,,,,,,,,-17.2263,,,,,,,-31.9243,-32.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.4930,-31.4972,,,,,,,,,,,,,,,,,
1676,,,,,,,,,-17.2184,,,,,,,-31.9217,-32.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.4669,-31.4915,,,,,,,,,,,,,,,,,
1677,,,,,,,,,-17.2106,,,,,,,-31.9192,-32.0582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.4407,-31.4858,,,,,,,,,,,,,,,,,
1678,,,,,,,,,-17.2027,,,,,,,-31.9166,-32.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.4146,-31.4801,,,,,,,,,,,,,,,,,
1679,,,,,,,,,-17.1949,,,,,,,-31.9141,-32.0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3884,-31.4744,,,,,,,,,,,,,,,,,
1680,,,,,,,,,-17.1870,,,,,,,-31.9115,-32.0488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.3623,-31.4687,,,,,,,,,,,,,,,,,
1681,,,,,,,,,-17.1773,,,,,,,-31.9088,-32.0453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.2994,-31.4632,,,,,,,,,,,,,,,,,
1682,,,,,,,,,-17.1676,,,,,,,-31.9061,-32.0418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.2366,-31.4577,,,,,,,,,,,,,,,,,
1683,,,,,,,,,-17.1579,,,,,,,-31.9035,-32.0383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.1737,-31.4523,,,,,,,,,,,,,,,,,
1684,,,,,,,,,-17.1483,,,,,,,-31.9008,-32.0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.1109,-31.4468,,,,,,,,,,,,,,,,,
1685,,,,,,,,,-17.1386,,,,,,,-31.8981,-32.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.0480,-31.4413,,,,,,,,,,,,,,,,,
1686,,,,,,,,,-17.1289,,,,,,,-31.8954,-32.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.0315,-31.4357,,,,,,,,,,,,,,,,,
1687,,,,,,,,,-17.1192,,,,,,,-31.8926,-32.0242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.0149,-31.4301,,,,,,,,,,,,,,,,,
