from_surface,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,camp_vi,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,foxx2,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s2a,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,td41,td42,td51,td52,tuto_ramp
40,-24.0400,-21.6660,-21.6460,-21.2040,-24.3358,-13.9000,-22.7180,-23.1353,-23.0341,,,-1.1557,-2.6993,,,-1.0810,0.0200,0.0730,-2.1748,,-3.2015,-2.9362,-4.4635,-5.0028,-4.2155,-9.5332,,-20.5982,-15.0143,-3.0149,-3.0141,-3.0854,-3.6812,-3.7090,-9.5777,-6.6055,-8.3034,-4.6803,,,-10.9260,-10.6486,,-10.9752,-9.7612,-9.0050,-16.9465,,,-12.7500,-21.2987,-18.5900,-24.4259,,-2.5920,-0.6000,-6.4867,-6.4813,-8.3850,-8.4850,-10.6399
41,-24.0300,-21.6380,-21.6200,-21.1660,-24.3415,-13.9420,-22.7120,-23.1346,-23.0332,,,-1.1528,-2.6834,,,-1.0680,0.0172,0.0787,-2.1415,,-3.0207,-2.7914,-4.4174,-4.9917,-4.2097,-9.5359,,-20.5803,-14.9486,-2.9957,-2.9814,-3.0085,-3.6508,-3.6840,-9.6212,-6.6643,-8.4058,-4.7025,,,-10.9394,-10.6673,,-10.9843,-9.8031,-9.0202,-16.9407,,,-12.7500,-21.2947,-18.5836,-24.4383,,-2.5760,-0.5400,-6.4840,-6.4787,-8.4020,-8.5020,-10.6268
42,-24.0080,-21.6100,-21.5980,-21.1280,-24.3472,-13.9840,-22.7060,-23.1338,-23.0324,,,-1.1498,-2.6675,,,-1.0550,0.0145,0.0845,-2.1083,,-2.8398,-2.7559,-4.3712,-4.9806,-4.2039,-9.5386,,-20.5623,-14.8828,-2.9765,-2.9488,-2.9316,-3.6203,-3.6589,-9.6646,-6.7230,-8.5082,-4.7246,,,-10.9528,-10.6861,,-10.9934,-9.8451,-9.0353,-16.9350,,,-12.7500,-21.2906,-18.5772,-24.4507,,-2.5600,-0.4800,-6.4813,-6.4760,-8.4190,-8.5190,-10.6138
43,-23.9860,-21.5840,-21.5760,-21.0900,-24.3529,-14.0260,-22.7000,-23.1331,-23.0315,,,-1.1469,-2.6764,,,-1.0420,0.0117,0.0903,-2.0751,,-2.6590,-2.7204,-4.3250,-4.9695,-4.1981,-9.5413,,-20.5443,-14.8171,-2.9573,-2.9161,-2.8546,-3.5899,-3.6339,-9.7081,-6.7818,-8.6105,-4.7468,,,-10.9661,-10.7048,,-11.0026,-9.8870,-9.0504,-16.9292,,,-12.7500,-21.2866,-18.5708,-24.4631,,-2.5440,-0.4200,-6.4787,-6.4733,-8.4360,-8.5360,-10.6008
44,-23.9640,-21.5580,-21.5540,-21.0720,-24.3585,-14.0680,-22.6980,-23.1293,-23.0306,,,-1.1439,-2.6853,,,-1.0290,0.0089,0.0960,-2.0827,,-2.4782,-2.6849,-4.2789,-4.9584,-4.1922,-9.5526,,-20.5264,-14.7715,-2.9381,-2.8835,-2.7777,-3.5595,-3.6088,-9.7553,-6.8406,-8.7129,-4.7690,,,-10.9795,-10.7236,,-11.0117,-9.9289,-9.0656,-16.9235,,,-12.7500,-21.2826,-18.5644,-24.4755,,-2.5280,-0.3600,-6.4760,-6.4707,-8.4530,-8.5530,-10.5877
45,-23.9420,-21.5320,-21.5320,-21.0540,-24.3642,-14.1100,-22.6960,-23.1256,-23.0297,,,-1.1410,-2.6943,,,-1.0161,0.0062,0.1018,-2.0903,,-2.2974,-2.6493,-4.2327,-4.9474,-4.1864,-9.5640,,-20.5084,-14.7259,-2.9190,-2.8508,-2.7008,-3.5290,-3.5838,-9.8025,-6.8994,-8.8153,-4.7911,,,-10.9929,-10.7423,,-11.0209,-9.9708,-9.0807,-16.9177,,,-12.7500,-21.2786,-18.5580,-24.4879,,-2.5120,-0.3000,-6.4733,-6.4680,-8.4700,-8.5700,-10.5747
46,-23.9200,-21.5060,-21.5100,-21.0360,-24.3699,-14.1520,-22.6940,-23.1219,-23.0288,,,-1.1380,-2.7143,,,-1.0031,0.0034,0.0957,-2.0979,,-2.1166,-2.6138,-4.1865,-4.9363,-4.1806,-9.5754,,-20.4904,-14.6803,-2.9211,-2.8409,-2.6621,-3.4986,-3.5587,-9.8497,-6.9582,-8.9176,-4.8133,,,-11.0062,-10.7611,,-11.0300,-10.0128,-9.0959,-16.9120,,,-12.7500,-21.2745,-18.5524,-24.5003,,-2.4960,-0.2400,-6.4707,-6.4653,-8.4870,-8.5870,-10.5616
47,-23.9060,-21.4800,-21.4920,-21.0180,-24.3756,-14.1940,-22.6920,-23.1182,-23.0279,,,-1.1351,-2.7343,,,-0.9901,0.0006,0.0896,-2.1055,,-2.1057,-2.5783,-4.1404,-4.9252,-4.1748,-9.5868,,-20.4725,-14.6347,-2.9232,-2.8310,-2.6235,-3.4682,-3.5337,-9.8969,-7.0170,-9.0200,-4.8354,,,-11.0196,-10.7798,,-11.0391,-10.0519,-9.1110,-16.9046,,,-12.7500,-21.2705,-18.5468,-24.5127,,-2.4800,-0.1800,-6.4680,-6.4627,-8.5040,-8.6040,-10.5486
48,-23.8920,-21.4580,-21.4740,-21.0000,-24.3813,-14.2360,-22.6900,-23.1145,-23.0271,,,-1.1321,-2.7543,,,-0.9771,-0.0021,0.0835,-2.1131,,-2.0949,-2.5428,-4.0942,-4.9141,-4.1690,-9.5982,,-20.4578,-14.5891,-2.9253,-2.8210,-2.5849,-3.4377,-3.5086,-9.9441,-7.0757,-9.1223,-4.8576,,,-11.0330,-10.7985,,-11.0483,-10.0910,-9.1262,-16.8971,,,-12.7500,-21.2665,-18.5412,-24.5251,,-2.4640,-0.1200,-6.4653,-6.4600,-8.5210,-8.6210,-10.5356
49,-23.8780,-21.4360,-21.4560,-20.9800,-24.3870,-14.2780,-22.6800,-23.1107,-23.0262,,,-1.1331,-2.7744,,,-0.9641,-0.0049,0.0774,-2.1170,,-2.0840,-2.5073,-4.0480,-4.9030,-4.1632,-9.6095,,-20.4431,-14.5435,-2.9274,-2.8111,-2.5462,-3.4073,-3.4836,-9.9913,-7.1345,-9.2247,-4.8797,,,-11.0464,-10.8173,,-11.0574,-10.1301,-9.1413,-16.8897,,,-12.7500,-21.2624,-18.5356,-24.5375,,-2.4480,-0.0600,-6.4627,-6.4573,-8.5380,-8.6380,
50,-23.8640,-21.4140,-21.4380,-20.9600,-24.3926,-14.3200,-22.6700,-23.1070,-23.0215,,,-1.1341,-2.7848,,,-0.9511,-0.0076,0.0713,-2.1210,,-2.0732,-2.4717,-4.0018,-4.8920,-4.1573,-9.6209,,-20.4284,-14.4979,-2.9296,-2.8011,-2.5076,-3.3769,-3.4585,-10.0385,-7.1933,-9.3271,-4.9019,,,-11.0597,-10.8360,,-11.0666,-10.1693,-9.1564,-16.8823,,,-12.7500,-21.2584,-18.5300,-24.5499,-0.8000,-2.4320,0.0000,-6.4600,-6.4547,-8.5550,-8.6550,
51,-23.8500,-21.3920,-21.4200,-20.9400,-24.3983,-14.3600,-22.6600,-23.1033,-23.0169,,,-1.1350,-2.7952,,,-0.9480,-0.0104,0.0652,-2.1249,,-2.0623,-2.4362,-3.9557,-4.8809,-4.1515,-9.6323,,-20.4137,-14.4523,-2.9317,-2.7912,-2.4689,-3.3251,-3.4335,-10.0857,-7.2521,-9.4294,-4.9241,,,-11.0731,-10.8548,,-11.0757,-10.2084,-9.1716,-16.8749,,,-12.7450,-21.2501,-18.5257,-24.5623,-0.8160,-2.4160,-0.0010,-6.4573,-6.4520,-8.5720,-8.6720,
