Borehole ID,Place Name,Geographic Location,Ice Type,Data Reference,Data DOI,Science Reference,Science DOI,Date,Longitude [°E],Latitude [°N],Location source,Depth of top measurement [m],Depth of bottom measurement [m],Ice thickness [m],Coverage [% of thickness],Ice thickness source,"Measured from: Top, Bottom, Relative",General_Note,Temperature_note,Thickness_note,Location_note
Jakobshavn95D_I2,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Lüthi, Martin, Funk, Martin, Iken, Almut, Gogineni, Shivaprasad, Truffer, Martin: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part III. Measurements of ice deformation, temperature and cross-borehole conductivity in boreholes to the bedrock, Journal of Glaciology 48(162), 369–385, 2002 ",10.3189/172756502781831322,1995,-48.6871,69.235,"Colgan, 2021",258.0,832,832,69,See science reference,T,,,,Location from Geothermal Database
Jakobshavn95D_T3,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Lüthi, Martin, Funk, Martin, Iken, Almut, Gogineni, Shivaprasad, Truffer, Martin: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part III. Measurements of ice deformation, temperature and cross-borehole conductivity in boreholes to the bedrock, Journal of Glaciology 48(162), 369–385, 2002 ",10.3189/172756502781831322,1995,-48.6871,69.235,"Colgan, 2021",20.0,300,832,34,See science reference,T,,,,Location from Geothermal Database
Jakobshavn95D_T4,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Lüthi, Martin, Funk, Martin, Iken, Almut, Gogineni, Shivaprasad, Truffer, Martin: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part III. Measurements of ice deformation, temperature and cross-borehole conductivity in boreholes to the bedrock, Journal of Glaciology 48(162), 369–385, 2002 ",10.3189/172756502781831322,1995,-48.6871,69.235,"Colgan, 2021",450.0,600,832,18,See science reference,T,,,,Location from Geothermal Database
Jakobshavn95D_T5,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Lüthi, Martin, Funk, Martin, Iken, Almut, Gogineni, Shivaprasad, Truffer, Martin: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part III. Measurements of ice deformation, temperature and cross-borehole conductivity in boreholes to the bedrock, Journal of Glaciology 48(162), 369–385, 2002 ",10.3189/172756502781831322,1995,-48.6871,69.235,"Colgan, 2021",650.0,809,832,19,See science reference,T,,,,Location from Geothermal Database
Meighen67,Meighen Ice Cap,Canadian Arctic North,Ice sheet,"Paterson, W. S. B.: A temperature profile through the Meighen ice cap, Arctic Canada , International Association of Scientific Hydrology 79, 440–449, 1968 ",,"Paterson, W. S. B.: A temperature profile through the Meighen ice cap, Arctic Canada , International Association of Scientific Hydrology 79, 440–449, 1968 ",,1965,-99.1,79.9,See data source,1.0,121,121.2,99,See data source,T,,,,Location from Geothermal Database
NEEM,NEEM,Northwest Greenland,Ice sheet,G. Clow email,,"Rasmussen, S., P. Abbott, T. Blunier et al. 2013. A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past. 9: 2713-2730.",10.5194/cp-9-2713-2013,2011-05-27,-51.06,77.45,"Dahl-Jensen, D., Albert, Mary R., Aldahan, A., Azuma, N., Balslev-Clausen, D., Baumgartner, M., Berggren, A. -M., Bigler, M., Binder, T., Blunier, T., Bourgeois, J. C., Brook, E. J., Buchardt, S. L., Buizert, C., Capron, E., Chappellaz, J., Chung, J., Clausen, H. B., Cvijanovic, I., Davies, S. M., Ditlevsen, P., Eicher, O., Fischer, H., Fisher, D. A., Fleet, L. G., Gfeller, G., Gkinis, V., Gogineni, S., Goto-Azuma, K., Grinsted, A., Gudlaugsdottir, H., Guillevic, M., Hansen, S. B., Hansson, M., Hirabayashi, M., Hong, S., Hur, S. D., Huybrechts, Philippe, Hvidberg, C. S., Iizuka, Y., Jenk, T., Johnsen, S. J., Jones, T. R., Jouzel, J., Karlsson, N. B., Kawamura, K., Keegan, K., Kettner, E., Kipfstuhl, S., Kjær, H. A., Koutnik, M., Kuramoto, T., Koehler, P., Laepple, T., Landais, A., Langen, P. L., Larsen, L. B., Leuenberger, D., Leuenberger, M., Leuschen, C., Li, J., Lipenkov, V., Martinerie, P., Maselli, O. J., Masson-Delmotte, V., McConnell, J. R., Miller, H., Mini, O., Miyamoto, A., Montagnat-Rentier, M., Mulvaney, R., Muscheler, Raimund, Orsi, A. J., Paden, J., Panton, C., Pattyn, F., Petit, J. -R., Pol, K., Popp, T., Possnert, G., Prie, F., Prokopiou, M., Quiquet, A., Rasmussen, S. O., Raynaud, D., Ren, J., Reutenauer, C., Ritz, C., Rockmann, T., Rosen, J. L., Rubino, M., Rybak, O., Samyn, D., Sapart, C. J., Schilt, A., Schmidt, A. M. Z., Schwander, J., Schuepbach, S., Seierstad, I., Severinghaus, J. P., Sheldon, S., Simonsen, S. B., Sjolte, Jesper, Solgaard, A. M., Sowers, T., Sperlich, P., Steen-Larsen, H. C., Steffen, K., Steffensen, J. P., Steinhage, D., Stocker, T. F., Stowasser, C., Sturevik, A. S., Sturges, W. T., Sveinbjornsdottir, A., Svensson, A., Tison, J. -L., Uetake, J., Vallelonga, P., van de Wal, R. S. W., van der Wel, G., Vaughn, B. H., Vinther, B., Waddington, E., Wegner, A., Weikusat, I., White, J. W. C., Wilhelms, F., Winstrup, M., Witrant, E., Wolff, E. W., Xiao, C., Zheng, J.: Eemian interglacial reconstructed from a Greenland folded ice core , Nature 493(7433), Nature Publishing Group, 489–494, 2013 ",81.0,2535,2535,97,Email from Gary Clow,T,,,,
NGRIP,NGRIP,Central Greenland,Ice sheet,G. Clow email,,"Buchardt, S. and D. Dahl-Jensen. 2007. Estimating the basal melt rate at NorthGRIP using a Monte Carlo technique. Annals of Glaciology. 45: 137-142. ",10.3189/172756407782282435,2003,-42.32,75.1,"Vinther, 2008",82.0,2992,3085,94,See data source email,T,,,,
Penny96,Penny Ice Cap,Canadian Arctic South,Ice cap,W. Colgan email,,"Fisher, D., R. Koerner, J. Bourgeois et al. 1998. Penny Ice Cap Cores, Baffin Island, Canada, and the Wisconsinan Foxe Dome Connection: Two States of Hudson Bay Ice Cover. Science. 279: 692-695. ",10.1126/science.279.5351.692,1996,-65.2,67.3,"Colgan, 2021",10.0,176,176,94,Data file + WIC email (see also Fisher 1998),T,,,,
PrinceWales05,Prince of Wales Ice Cap,Canadian Arctic North,Ice cap,W. Colgan email,,"Kinnard, C., R. Koerner, C. Zdanowicz et al. 2008. Stratigraphic analysis of an ice core from the Prince of Wales Icefield, Ellesmere Island, Arctic Canada, using digital image analysis: High‐resolution density, past summer warmth reconstruction, and melt effect on ice core solid conductivity. Journal of Geophysical Research. 113: D24120. ",10.1029/2008JD011083,2005-05-15,-80.395,78.3897,"Colgan, 2021",10.0,176,176,94,WIC,T,,,,
Renland88,Renland Ice Cap,Central East Greenland,Ice cap,B. M. Vinther email,,"Hansson, M. 1994. The Renland ice core. A Northern Hemisphere record of aerosol composition over 120,000 years. Tellus B. 46: 390-418.",10.3402/tellusb.v46i5.15813,1988,-26.768,71.306,Email and Vinther (2008),15.0,300,324,88,"Vinther, B. M., Clausen, H. B., Fisher, D. A., Koerner, R. M., Johnsen, S. J., Andersen, K. K., Dahl-Jensen, D., Rasmussen, S. O., Steffensen, J. P., Svensson, A. M.: Synchronizing ice cores from the Renland and Agassiz ice caps to the Greenland Ice Core Chronology , Journal of Geophysical Research 113(D8), American Geophysical Union (AGU), 4 2008 ",T,,,,
SiteII,Site II,Northwest Greenland,Ice sheet,"Hansen, B. L., Landauer, J. K.: Some results of ice cap drill hole measurements, Union Geodesique et Geophysique Internationale. Association Internationale d'Hydrologie Scientifique 47, 313–317, 1958 ",,"Hansen, B. and J. Landauer. 1958. Some results of ice cap drill hole measurements. IASH Publication. 47: 313-317.",,1958-06-25,-56.07,76.98,"Colgan, 2021",16.0,410,1851,21,BedMachine_V3,T,,Digitized from graphic,,
StationCentrale,Station Centrale,Northwest Greenland,Ice sheet,"Heuberger, J.-C. 1954. Expéditions Polaires Françaises: Missions Paul-Emil Victor. Glaciologie Groenland Volume 1: Forages sur l'inlandsis. Hermann & Cle, Éditeurs. Paris.",,"Heuberger, J.-C. 1954. Expéditions Polaires Françaises: Missions Paul-Emil Victor. Glaciologie Groenland Volume 1: Forages sur l'inlandsis. Hermann & Cle, Éditeurs. Paris.",,,,,,10.0,150,,#DIV/0!,,T,,https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/files/7082104/heuberger_1954.pdf,,
Store_R30_BH19c,Store Glacier,Central West Greenland,Ice sheet,R. Law email,,"Law, Robert, Poul Christoffersen, Bryn Hubbard, Samuel H. Doyle, Thomas R. Chudley, Charlotte M. Schoonman, Marion Bougamont et al. ""Thermodynamics of a fast-moving Greenlandic outlet glacier revealed by fiber-optic distributed temperature sensing."" Science Advances 7, no. 20 (2021): eabe7136.",10.1126/sciadv.abe7136,2019-08-13,-50.09,70.57,"Law, 2021",0.09,1044,1044,100,Law (2021),T,See also: 10.5285/ecf81955-b829-4f91-ae90-b9bc947f8c60,,,
Store_S30,Store Glacier,Central West Greenland,Ice sheet,"Doyle, Samuel; Hubbard, Bryn; Christoffersen, Poul; Young, Tun Jan; Hofstede, Coen; Bougamont, Marion; et al. (2018): SAFIRE borehole, AWS and GPS datasets. figshare. Dataset. https://doi.org/10.6084/m9.figshare.5745294.v1 ",10.6084/m9.figshare.5745294.v1,"Doyle, S.H., Hubbard, B., Christoffersen, P., Young, T. J., Hofstede, C., Bougamont, M., Box, J. E. & Hubbard, A. 2018. Physical conditions of fast glacier flow: 1. Measurements from boreholes drilled to the bed of Store Glacier, West Greenland, Journal of Geophysical Research: Earth Surface, DOI: 10.1002/2017JF004529.",10.1002/2017JF004529,2014,-49.9167,70.5167,"Doyle, 2018",102.0,604,600,84,Doyle (2018),T,,,,
TD1_88,Paakitsoq,Central West Greenland,Ice sheet,Unknown PDF: Shallow88II.pdf,,"Thomsen, H.H., O.B. Olesen, R.J. Braithwaite, and C.E. Bøggild. 1991. Ice drilling and mass balance at Pakitsoq, Jakobshavn, central West Greenland. Rapport Grønlands Geologiske Undersøgelse, 152, 80–84. ",10.34194/rapggu.v152.8160,1988-05-19,-50.13,69.45,"Colgan, 2021",50.0,300,300,83,Unknown PDF: Shallow88II.pdf,T,,See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Shallow88II.pdf and https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Thomsen_TD1_TD2_TD3_records.pdf,,
TD2_88,Paakitsoq,Central West Greenland,Ice sheet,Unknown PDF: See td1,,"Thomsen, H.H., O.B. Olesen, R.J. Braithwaite, and C.E. Bøggild. 1991. Ice drilling and mass balance at Pakitsoq, Jakobshavn, central West Greenland. Rapport Grønlands Geologiske Undersøgelse, 152, 80–84. ",10.34194/rapggu.v152.8160,1988-05-19,-50.1,69.45,"Colgan, 2021",27.0,202,470,37,Unknown PDF: See td1,T,,See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Shallow88II.pdf and https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Thomsen_TD1_TD2_TD3_records.pdf,,
TD3_88,Paakitsoq,Central West Greenland,Ice sheet,Unknown PDF: See td1. Also Phillips (2010),,"Thomsen, H.H., O.B. Olesen, R.J. Braithwaite, and C.E. Bøggild. 1991. Ice drilling and mass balance at Pakitsoq, Jakobshavn, central West Greenland. Rapport Grønlands Geologiske Undersøgelse, 152, 80–84. ",10.34194/rapggu.v152.8160,1988-08-18,-50.0,69.48,"Colgan, 2021",20.0,350,350,94,Unknown PDF: See td1. Also Phillips (2010),T,,See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Shallow88II.pdf and https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Thomsen_TD1_TD2_TD3_records.pdf,,
TD4_91a,Paakitsoq,Central West Greenland,Ice sheet,Unknown PDF: See td1,,"Thomsen, H.H., O.B. Olesen, R.J. Braithwaite, and C.E. Bøggild. 1991. Ice drilling and mass balance at Pakitsoq, Jakobshavn, central West Greenland. Rapport Grønlands Geologiske Undersøgelse, 152, 80–84. ",10.34194/rapggu.v152.8160,1991-11-05,-49.68,69.53,"Colgan, 2021",5.0,495,660,74,Estimate from Martin Luthi,T,,See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Shallow88II.pdf and https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Thomsen_TD1_TD2_TD3_records.pdf,,
TD4_91b,Paakitsoq,Central West Greenland,Ice sheet,Unknown PDF: See td1,,"Thomsen, H.H., O.B. Olesen, R.J. Braithwaite, and C.E. Bøggild. 1991. Ice drilling and mass balance at Pakitsoq, Jakobshavn, central West Greenland. Rapport Grønlands Geologiske Undersøgelse, 152, 80–84. ",10.34194/rapggu.v152.8160,1991-08-28,-49.68,69.53,"Colgan, 2021",3.0,493,660,74,Estimate from Martin Luthi,T,,See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Shallow88II.pdf and https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Thomsen_TD1_TD2_TD3_records.pdf,,
TD5_90,Paakitsoq,Central West Greenland,Ice sheet,Unknown PDF: See td1 and Lüthi (2015),,"Thomsen, H.H., O.B. Olesen, R.J. Braithwaite, and C.E. Bøggild. 1991. Ice drilling and mass balance at Pakitsoq, Jakobshavn, central West Greenland. Rapport Grønlands Geologiske Undersøgelse, 152, 80–84. ",10.34194/rapggu.v152.8160,1990-06-09,-49.3,69.57,"Colgan, 2021",5.0,600,1223,49,BedMachine_V3,T,,See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Shallow88II.pdf and https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Thomsen_TD1_TD2_TD3_records.pdf,,
TD5_91,Paakitsoq,Central West Greenland,Ice sheet,Unknown PDF: See td1 and Lüthi (2015),,"Thomsen, H.H., O.B. Olesen, R.J. Braithwaite, and C.E. Bøggild. 1991. Ice drilling and mass balance at Pakitsoq, Jakobshavn, central West Greenland. Rapport Grønlands Geologiske Undersøgelse, 152, 80–84. ",10.34194/rapggu.v152.8160,1991-05-25,-49.3,69.57,"Colgan, 2021",5.0,600,1223,49,BedMachine_V3,T,,See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Shallow88II.pdf and https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/blob/main/TD1_88/Thomsen_TD1_TD2_TD3_records.pdf,,
Tuto_D-11,Tuto Ramp,Northwest Greenland,Ice sheet,"Davis, RM: Approach roads, Greenland 1960–1964 , Technical Report 133. Corps of Engineers, Cold Regions Research & Engineering Laboratory , 1967 ",,"Davis, RM: Approach roads, Greenland 1960–1964 , Technical Report 133. Corps of Engineers, Cold Regions Research & Engineering Laboratory , 1967 ",,1962-08-15,-68.2873,76.4113,"Colgan, 2021",0.0,48,48,100,See data source,T(ish),,Digitized from graphic,,
